Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
20,993822,995665,1001898,1007240,1010839,1013111,1017584,1019716,1017777,1013396,1008369,1004607,1001771,993497,992062,1008594,1020692,968454,926285,889546,863220,852836,843913,836832,830364,824416,818961,813981,809336,804966,801078,797765,794255,789940,785061,780116,775510,770532,764551,757811,750595,743248,735736,727936,719935,711662,703118
21,981366,983988,986659,992851,998164,1001757,1004042,1008515,1010669,1008791,1004494,999557,995874,993111,984957,983583,1000023,1012061,960299,918506,882081,855965,845636,836820,829805,823398,817506,812102,807169,802570,798241,794391,791110,787634,783359,778525,773625,769061,764127,758200,751519,744366,737082,729635,721903,713970,705768
22,968271,971782,975419,978080,984233,989520,993109,995408,999883,1002061,1000243,996027,991177,987573,984881,976843,975528,991882,1003866,952557,911121,874995,849078,838802,830089,823137,816787,810949,805595,800707,796150,791861,788046,784796,781352,777115,772324,767466,762942,758051,752174,745549,738456,731233,723847,716179,708311
23,954226,959087,963733,967354,970007,976125,981388,984975,987290,991768,993971,992211,988074,983308,979780,977157,969229,967973,984247,996182,945299,904200,868356,842625,832397,823783,816890,810595,804808,799500,794654,790137,785885,782103,778882,775468,771267,766516,761698,757212,752361,746531,739958,732921,725755,718427,710819
24,939507,945548,951600,956229,959836,962482,968569,973812,977398,979730,984213,986442,984739,980677,975992,972536,969979,962156,960956,977158,989050,938564,897779,862196,836639,826456,817936,811098,804854,799114,793849,789042,784562,780345,776594,773400,770014,765846,761132,756352,751900,747087,741300,734776,727791,720678,713403
25,926484,931396,938638,944669,949283,952879,955520,961579,966804,970391,972741,977231,979487,977839,973848,969241,965853,963359,955635,954489,970627,982481,932363,891868,856526,831130,820989,812556,805769,799572,793876,788651,783880,779434,775249,771527,768358,764998,760861,756181,751436,747016,742237,736491,730012,723074,716010
26,915171,918949,925053,932271,938284,942886,946473,949111,955146,960356,963946,966314,970813,973096,971501,967579,963044,959721,957288,949657,948563,964643,976464,926684,886456,851337,826088,815986,807634,800895,794741,789085,783897,779160,774745,770590,766895,763749,760413,756304,751656,746942,742552,737804,732095,725657,718763
27,906734,908196,913131,919225,926424,932422,937015,940595,943231,949245,954443,958038,960424,964934,967244,965700,961843,957376,954116,951740,944196,943151,959182,970975,921505,881522,846606,821491,811426,803149,796454,790340,784721,779567,774861,770475,766347,762677,759552,756238,752155,747536,742851,738488,733769,728094,721694
28,898881,900279,902855,907792,913879,921063,927049,931635,935210,937845,943841,949030,952631,955036,959558,961895,960400,956605,952203,949002,946680,939218,938219,954207,965977,916790,877032,842302,817311,807278,799072,792417,786340,780755,775632,770955,766596,762493,758846,755740,752447,748388,743795,739137,734799,730106,724462
29,890811,892913,895355,897951,902892,908975,916147,922124,926705,930277,932914,938895,944077,947685,950110,954645,957008,955560,951824,947484,944338,942067,934683,933728,949678,961429,912502,872948,838390,813511,803508,795368,788750,782707,777154,772060,767409,763075,758995,755369,752281,749007,744971,740402,735768,731453,726784
