Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
82,67640,69413,71223,73234,75629,78183,80874,83660,86522,89494,92604,95870,99351,103068,107019,111184,115546,120147,125011,130114,135430,141007,146921,153233,160008,167262,174983,183168,191756,200819,211445,222775,235339,247909,261237,274753,288424,302181,316020,329438,342880,355993,369170,382579,395279,407965,420303
83,60398,62832,64408,66088,67954,70176,72547,75043,77629,80285,83042,85929,89016,92308,95822,99559,103498,107626,111981,116588,121421,126460,131748,137357,143345,149773,156657,163986,171758,179917,188531,198622,209385,221322,233276,245957,258829,271860,284986,298203,311036,323904,336474,349117,361991,374207,386420
84,53390,55739,57915,59367,60916,62636,64684,66870,69170,71554,74002,76544,79258,82161,85257,88561,92076,95783,99669,103769,108109,112664,117415,122403,127696,133347,139414,145914,152836,160180,167892,176039,185575,195750,207035,218349,230355,242556,254917,267383,279947,292164,304428,316423,328500,340806,352506
85,46870,48919,51003,52995,54324,55741,57315,59189,61190,63294,65476,67715,70092,72628,75341,78236,81324,84610,88078,91715,95553,99617,103885,108339,113018,117984,123287,128982,135085,141585,148486,155737,163399,172362,181929,192539,203189,214497,225999,237664,249441,261322,272894,284522,295911,307390,319096
86,39803,42607,44406,46298,48106,49312,50599,52028,53729,55545,57455,59436,61514,63721,66076,68594,71282,74149,77202,80425,83806,87376,91157,95131,99280,103640,108270,113216,118528,124222,130289,136733,143508,150670,159043,167984,177899,187864,198450,209230,220173,231234,242405,253302,264266,275018,285868
87,34516,35871,38337,39956,41658,43285,44371,45528,46814,48345,49979,51697,53522,55436,57469,59640,61960,64438,67080,69895,72868,75989,79285,82778,86452,90289,94324,98610,103190,108111,113386,119010,124986,131273,137922,145690,153990,163193,172455,182299,192335,202533,212854,223290,233486,243756,253844
88,30408,30810,31965,34163,35605,37122,38572,39539,40570,41716,43080,44537,46106,47772,49520,51378,53362,55482,57747,60163,62738,65458,68315,71334,74535,77904,81425,85129,89066,93274,97797,102647,107819,113319,119108,125235,132387,140032,148511,157054,166141,175415,184849,194409,204087,213558,223110
89,27252,26859,27180,28200,30139,31410,32748,34027,34881,35790,36802,38005,39323,40744,42251,43835,45517,47315,49236,51288,53479,55814,58281,60875,63618,66527,69590,72794,76167,79753,83589,87712,92135,96853,101875,107163,112763,119296,126282,134032,141851,150173,158677,167337,176124,185031,193762
90,24131,23809,23432,23713,24603,26294,27402,28570,29686,30431,31224,32107,33186,34367,35641,36991,38412,39920,41534,43257,45100,47067,49165,51382,53714,56183,58802,61561,64450,67493,70729,74194,77918,81915,86181,90723,95511,100585,106499,112826,119847,126941,134495,142225,150106,158112,166240
91,20750,20827,20504,20179,20422,21188,22644,23598,24605,25565,26207,26889,27676,28632,29679,30807,32003,33263,34600,36032,37561,39197,40942,42806,44777,46850,49048,51379,53837,56414,59128,62018,65113,68440,72013,75829,79894,84182,88730,94027,99697,105991,112360,119146,126099,133196,140417
92,17829,17657,17681,17407,17131,17338,17988,19224,20034,20889,21704,22249,22850,23542,24377,25294,26280,27325,28428,29599,30853,32193,33626,35156,36791,38521,40342,42273,44323,46486,48756,51148,53696,56428,59365,62520,65892,69486,73282,77310,81998,87019,92594,98245,104270,110450,116768
93,14787,14937,14760,14780,14551,14320,14493,15037,16070,16747,17461,18143,18617,19139,19739,20459,21250,22100,23002,23953,24965,26048,27206,28445,29768,31183,32681,34259,35934,37712,39591,41564,43645,45862,48242,50801,53552,56493,59631,62947,66469,70565,74956,79831,84782,90064,95490
94,11972,12176,12278,12133,12148,11961,11771,11913,12360,13209,13765,14352,14928,15335,15782,16293,16906,17577,18299,19066,19875,20736,21658,22644,23700,24827,26034,27313,28661,30092,31614,33222,34913,36698,38601,40644,42843,45208,47739,50440,53297,56335,59865,63653,67859,72137,76705
95,9505,9672,9824,9906,9789,9801,9650,9497,9612,9972,10657,11106,11592,12071,12414,12789,13218,13730,14290,14893,15535,16212,16932,17704,18530,19416,20361,21373,22447,23581,24785,26065,27420,28846,30354,31961,33688,35548,37550,39693,41982,44406,46987,49982,53199,56772,60414
96,7382,7518,7644,7765,7830,7737,7746,7627,7505,7597,7881,8422,8788,9183,9573,9856,10166,10519,10939,11398,11892,12419,12975,13567,14201,14881,15609,16388,17222,18108,19043,20038,21096,22217,23399,24650,25983,27416,28963,30628,32410,34317,36337,38491,40989,43674,46657
97,5592,5704,5808,5905,5999,6048,5977,5984,5892,5798,5868,6087,6513,6805,7120,7430,7659,7910,8194,8531,8899,9296,9720,10167,10643,11153,11701,12288,12917,13590,14306,15062,15868,16724,17633,18593,19609,20694,21861,23121,24478,25931,27488,29139,30902,32944,35141
98,4127,4211,4296,4374,4447,4518,4555,4501,4507,4438,4367,4419,4590,4918,5145,5388,5631,5811,6009,6233,6496,6785,7096,7430,7781,8155,8556,8987,9449,9945,10476,11042,11639,12276,12954,13675,14437,15244,16106,17035,18039,19120,20279,21522,22842,24252,25885
99,2955,3019,3083,3146,3203,3256,3308,3335,3296,3300,3250,3198,3240,3369,3615,3786,3970,4154,4293,4444,4616,4818,5038,5276,5531,5799,6086,6393,6724,7078,7459,7867,8302,8762,9253,9776,10333,10922,11547,12215,12936,13716,14555,15456,16424,17452,18552
100,5519,5633,5772,5904,6033,6156,6272,6382,6470,6499,6515,6490,6442,6445,6547,6802,7106,7451,7822,8174,8519,8878,9270,9695,10159,10661,11196,11770,12387,13050,13765,14530,15354,16235,17175,18181,19257,20405,21626,22926,24317,25808,27414,29147,31013,33024,35179
